,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5721918,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"everything i wanted","Billie Eilish",5311902,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
3,Memories,"Maroon 5",4245678,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,ROXANNE,"Arizona Zervas",4045948,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Circles,"Post Malone",3903018,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Lose You To Love Me","Selena Gomez",3670920,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
7,"Don't Start Now","Dua Lipa",3615684,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Someone You Loved","Lewis Capaldi",3271556,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",3186649,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"HIGHEST IN THE ROOM","Travis Scott",3015751,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
11,Señorita,"Shawn Mendes",2967839,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
12,"hot girl bummer",blackbear,2788488,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,"Lights Up","Harry Styles",2631324,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
14,"Watermelon Sugar","Harry Styles",2618360,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
15,"Ride It",Regard,2302775,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
16,"bad guy","Billie Eilish",2132699,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,"Beautiful People (feat. Khalid)","Ed Sheeran",2055012,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
18,"10,000 Hours (with Justin Bieber)","Dan + Shay",2014078,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
19,China,"Anuel AA",1972882,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
20,"Trampoline (with ZAYN)",SHAED,1921544,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
21,"How Do You Sleep?","Sam Smith",1874351,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
22,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1802583,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",1692539,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Mean It",Lauv,1662513,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
25,"Que Tire Pa Lante","Daddy Yankee",1658596,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
26,Lalala,Y2K,1633096,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
27,Liar,"Camila Cabello",1629054,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
