,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",7317982,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"All I Want for Christmas Is You","Mariah Carey",4791768,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,4222207,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,positions,"Ariana Grande",3886449,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"Mood (feat. iann dior)",24kGoldn,3687911,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"LA NOCHE DE ANOCHE","Bad Bunny",3658014,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
7,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3327344,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
8,"Santa Tell Me","Ariana Grande",3297527,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
9,"Therefore I Am","Billie Eilish",3297065,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
10,Dynamite,BTS,3285868,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
11,BICHOTA,"KAROL G",3155483,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
12,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3027526,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
13,"Jingle Bell Rock","Bobby Helms",2983132,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
14,"Rockin' Around The Christmas Tree","Brenda Lee",2982850,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Blinding Lights","The Weeknd",2982249,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",2917351,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
17,"TE MUDASTE","Bad Bunny",2765607,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
18,"It's the Most Wonderful Time of the Year","Andy Williams",2720776,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
19,"Life Goes On",BTS,2658976,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
20,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2607097,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
21,"YO VISTO ASÍ","Bad Bunny",2572630,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
22,34+35,"Ariana Grande",2514153,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
23,"What You Know Bout Love","Pop Smoke",2486769,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
24,"Underneath the Tree","Kelly Clarkson",2442999,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
25,"Lonely (with benny blanco)","Justin Bieber",2402687,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
26,"HACIENDO QUE ME AMAS","Bad Bunny",2241405,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
27,Hawái,Maluma,2164606,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
28,Mistletoe,"Justin Bieber",2140233,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
29,"WAP (feat. Megan Thee Stallion)","Cardi B",2106750,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
30,"you broke me first","Tate McRae",2030654,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
31,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2012053,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
32,"Watermelon Sugar","Harry Styles",1997394,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Feliz Navidad","José Feliciano",1982532,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
34,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1946425,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
35,"Driving Home for Christmas - 2019 Remaster","Chris Rea",1902265,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
36,"Do They Know It's Christmas? - 1984 Version","Band Aid",1868500,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
37,"Sleigh Ride","The Ronettes",1862040,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf
38,"TE DESEO LO MEJOR","Bad Bunny",1851221,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
39,"Holy (feat. Chance The Rapper)","Justin Bieber",1832583,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
40,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1827639,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
41,"BOOKER T","Bad Bunny",1777674,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
42,"Levitating (feat. DaBaby)","Dua Lipa",1776742,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
43,"Relación - Remix",Sech,1776580,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
44,"Head & Heart (feat. MNEK)","Joel Corry",1776459,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
45,HOLIDAY,"Lil Nas X",1752698,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
46,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1752326,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
47,"Holly Jolly Christmas","Michael Bublé",1735403,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
48,Whoopty,CJ,1707507,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
49,"La Nota","Manuel Turizo",1704122,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
50,pov,"Ariana Grande",1656205,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
51,Heather,"Conan Gray",1649754,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
52,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1619944,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
53,"Someone You Loved","Lewis Capaldi",1613901,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
54,"La Tóxica",Farruko,1589699,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
55,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1583549,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
56,"Chica Ideal","Sebastian Yatra",1574235,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
57,"Vida de Rico",Camilo,1569002,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
58,"LA DROGA","Bad Bunny",1562420,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
59,"Se Te Nota (with Guaynaa)","Lele Pons",1540975,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
60,"MALDITA POBREZA","Bad Bunny",1528661,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
61,"HOY COBRÉ","Bad Bunny",1524601,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
62,"Midnight Sky","Miley Cyrus",1503254,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
63,"Put Your Records On","Ritt Momney",1468322,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
