,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5627423,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"All I Want for Christmas Is You","Mariah Carey",4125994,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,ROXANNE,"Arizona Zervas",4072547,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Memories,"Maroon 5",3690259,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Heartless,"The Weeknd",3516685,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
6,"everything i wanted","Billie Eilish",3428811,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,Circles,"Post Malone",3356876,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Last Christmas",Wham!,3350577,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
9,"Don't Start Now","Dua Lipa",3115513,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"Blinding Lights","The Weeknd",3113106,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,"RITMO (Bad Boys For Life)","Black Eyed Peas",2949836,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"Someone You Loved","Lewis Capaldi",2773099,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,Señorita,"Shawn Mendes",2705403,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,"Lose You To Love Me","Selena Gomez",2657731,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
15,"Santa Tell Me","Ariana Grande",2573104,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
16,Tusa,"KAROL G",2545693,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
17,Falling,"Trevor Daniel",2489844,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,"HIGHEST IN THE ROOM","Travis Scott",2376915,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
19,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2375947,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
20,Vete,"Bad Bunny",2338825,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
21,"hot girl bummer",blackbear,2302887,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,"Rockin' Around The Christmas Tree","Brenda Lee",2068653,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
23,"bad guy","Billie Eilish",2059617,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
24,"Jingle Bell Rock","Bobby Helms",2038298,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
25,"Ride It",Regard,1985582,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
26,"It's the Most Wonderful Time of the Year","Andy Williams",1978616,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
27,Mistletoe,"Justin Bieber",1898541,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
28,China,"Anuel AA",1811715,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
29,"Before You Go","Lewis Capaldi",1733160,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
30,"Do They Know It's Christmas? - 1984 Version","Band Aid",1714506,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
31,"Beautiful People (feat. Khalid)","Ed Sheeran",1704576,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
32,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1654203,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
33,"10,000 Hours (with Justin Bieber)","Dan + Shay",1620096,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
34,Fantasias,"Rauw Alejandro",1588439,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
35,"Holly Jolly Christmas","Michael Bublé",1581273,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
36,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1548918,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
37,"Watermelon Sugar","Harry Styles",1509747,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
38,"LA CANCIÓN","J Balvin",1508270,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
39,Lalala,Y2K,1507373,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
40,"How Do You Sleep?","Sam Smith",1491838,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
41,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1486239,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
42,"Feliz Navidad","José Feliciano",1472629,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
43,"Lights Up","Harry Styles",1462103,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
